#threads	lf		lb		std		tbb
1			1049	903		117		129
2			2736	3634	476		515
4			4182	9133	2356	1008
8			7586	29004	4477	1539
16			15082	68494	8718	3260
32			30372	147607	16655	6918
64			60584	330722	33599	15243
