#threads		lf		lf-std	lb			lb-std	std	std-std	tbb	tbb-std
30			7682		401		23276		218		5404	162		1249	35
60			15632		170		55797		463		10664	117		2446	28
120		32016		1309		123416	919		21739	618		4992	45
240		65191		1992		262801	1646		42815	1062		12855	78
