#threads		lf		lf-std	lb			lb-std	std	std-std	tbb	tbb-std
30				63536	3289		246227	989		45956	1022		9533	214
60				62847	2336		269591	2640		43463	1031		9479	143
120			62231	1094		272129	2084		42969	797		9839	797
240			65191	1991		262800	1645		42815	1062		12855	78
480			87975	3275		266607	5857		34516	257		21094	1330
