#threads		lf		lf-std	lb			lb-std	std	std-std	tbb	tbb-std
30				39875	8363		102306	3370		136853 1630		65591	2007
60				91681	8460		98992		2740		140023 2234		63697	798
120			83219	2993		95899		2670		145800 2932		65073	435
240			81845	2709		93621		2480		155017 3905		79448	454
480			82636	4424		87353		457		204732 1230		129599 12689
