#threads		lf		lf-std	lb			lb-std	std	std-std	tbb	tbb-std
30				5590	1403		12034		339		15554	474		6809	55
60				23827	553		24564		556		34182	670		14055	298
120			41118	1533		48781		1125		71089	1861		20778	52
240			81845	2710		93622		2480		155018 3906		79448	453
480			169546 8434		166555	1437		427646 6008		255539 33036
