#threads		lf			lf-std	lb			lb-std	std	std-std	tbb	tbb-std
30				33597		1511		133163	2614		82942	2049		19954	255
60				134867	22116		139177	2251		85695	3443		19031	153
120			181002	78377		134965	1584		88536	1618		19569	119
240			289558	65221		142864	1699		95979	2737		22575	227
480			432653	14795		179825	1548		101599 716		34424	2878
