#threads	lf		lb		std		tbb
1			296		156		114		112
2			1210	758		450		545
4			2267	3295	2364	1289
8			4498	9610	6340	1807
16			15878	17529	12906	3610
32			18250	35319	32590	7307
64			36313	71787	57904	15122
